City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Date
143,Kaduqli,SD,11.0167,29.7167,303.54,303.54,53,25,2.05,2022-10-11 15:09:52
144,Herat,AF,34.5,62.0,291.5,291.5,14,0,5.14,2022-10-11 15:09:53
145,Salinas,US,36.6777,-121.6555,285.88,284.35,96,100,2.06,2022-10-11 15:09:54
146,Saint-Augustin,CA,51.226,-58.6502,281.16,281.16,57,78,9.66,2022-10-11 15:09:54
147,Samana,DO,19.2056,-69.3369,303.27,302.13,84,40,3.09,2022-10-11 15:07:35
148,Cobourg,DE,50.2667,10.9667,290.38,285.4,61,75,0.45,2022-10-11 15:09:55
149,Iberia,US,29.9502,-91.7507,296.15,295.19,46,0,4.63,2022-10-11 15:09:56
150,Campina Grande Do Sul,BR,-25.3056,-49.0553,298.44,293.29,53,100,2.72,2022-10-11 15:09:57
151,Thompson,CA,55.7435,-97.8558,284.63,284.63,68,100,3.72,2022-10-11 15:09:57
152,Acari,PE,-15.4311,-74.6158,295.47,295.47,54,61,3.1,2022-10-11 15:09:58
153,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,300.68,300.68,63,25,6.23,2022-10-11 15:09:58
154,Itacarambi,BR,-15.1022,-44.0919,307.49,307.49,20,14,4.53,2022-10-11 15:09:59
155,Chardara,KZ,41.2547,67.9692,291.38,291.38,31,0,3.58,2022-10-11 15:09:59
156,Skelleftea,SE,64.7507,20.9528,282.04,281.35,93,0,3.6,2022-10-11 15:09:59
157,Jalu,LY,29.0331,21.5482,301.98,301.98,24,98,3.2,2022-10-11 15:10:00
158,Kinston,US,35.2627,-77.5816,294.91,291.33,64,0,0.0,2022-10-11 15:10:02
159,Soloneshnoye,RU,51.6544,84.3197,279.02,279.02,68,99,1.87,2022-10-11 15:10:03
160,Scarborough,GB,54.2797,-0.4044,286.92,285.46,73,100,1.34,2022-10-11 15:05:57
161,Axim,GH,4.8699,-2.2405,300.73,300.73,71,91,4.3,2022-10-11 15:10:05
162,Luderitz,NA,-26.6481,15.1594,291.22,291.22,76,100,5.61,2022-10-11 15:10:07
163,Gamba,GA,-2.65,10.0,300.09,300.09,75,79,4.17,2022-10-11 15:10:10
164,Codrington,AU,-38.2667,141.9667,288.49,288.49,54,100,6.28,2022-10-11 15:10:12
165,Cockburn Town,TC,21.4612,-71.1419,303.13,303.13,66,40,4.12,2022-10-11 15:09:22
166,Wadi Musa,JO,30.3222,35.4793,293.7,293.7,52,0,2.36,2022-10-11 15:10:14
167,Condoto,CO,5.0935,-76.6497,301.08,301.08,80,88,0.95,2022-10-11 15:10:14
168,Vila Velha,BR,-20.3297,-40.2925,303.12,303.12,62,40,5.66,2022-10-11 15:07:23
169,Roald,NO,62.5833,6.1333,283.01,279.66,71,40,7.2,2022-10-11 15:10:16
170,Cabedelo,BR,-6.9811,-34.8339,301.12,301.12,64,21,9.11,2022-10-11 15:10:16
171,Maragogi,BR,-9.0122,-35.2225,300.63,300.63,63,33,6.27,2022-10-11 15:10:17
172,Floro,NO,61.5996,5.0328,282.13,279.24,66,40,4.12,2022-10-11 15:10:18
173,Santona,ES,43.4439,-3.4576,294.22,292.22,82,38,1.41,2022-10-11 15:10:19
