,City,Country,Max Temp,Lat,Lng,Hotel Name
280,Muros,ES,298.62,42.7762,-9.0603,Apartment Av. Castelao
281,Igarka,RU,274.94,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
282,Ronneby,SE,285.43,56.21,15.276,Hotell Davids Kulle
284,Arroio Grande,BR,288.08,-32.2375,-53.0869,Motel Bela Vista
285,Teeli,RU,277.89,51.0333,90.2333,
287,Guarapuava,BR,290.6,-25.3953,-51.4581,Küster Hotel | Guarapuava
288,Astana,KZ,280.12,51.1801,71.446,King Hotel Astana
289,Vidalia,US,297.12,32.2177,-82.4135,Quality Inn & Suites
293,Tilhar,IN,296.12,27.9833,79.7333,रस्तोगी धर्मशाला
297,Moose Factory,CA,284.12,51.2585,-80.6094,Moosonee Lilypad
298,Pardilho,PT,299.26,40.7993,-8.626,Be and See in Nature
300,Danville,US,290.86,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
301,Raga,SS,297.85,8.4596,25.678,
302,Kuryk,KZ,293.28,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
303,Klaksvik,FO,282.66,62.2266,-6.589,Airbnb rooms
304,Saint-Francois,FR,291.86,46.4154,3.9054,Maison Vin d'Hus
305,Raudeberg,NO,281.52,61.9875,5.1352,Nordre Silda.
307,Tazovskiy,RU,276.19,67.4667,78.7,TazHostel
308,Togul,RU,281.98,53.465,85.9128,
311,Marsa Matruh,EG,296.78,31.3525,27.2453,Beau Site
312,Iisaku,EE,282.86,59.1014,27.3081,Raja Country House
313,Valparaiso,CL,290.93,-33.0393,-71.6273,Hotel Ultramar
314,Wattegama,LK,298.52,6.7989,81.4808,
315,Sokoni,TZ,297.69,-6.4333,39.55,Ujamaa Beach Resort
316,Teodoro Sampaio,BR,298.14,-22.5325,-52.1675,Hotel do Senhor
317,Agadir,MA,297.4,30.4202,-9.5982,Iberostar Founty Beach
318,Meulaboh,ID,299.14,4.1363,96.1285,Kost Pria
319,Obera,AR,287.06,-27.4871,-55.1199,CABAÑAS DORALIA
320,Vestmannaeyjar,IS,281.7,63.4427,-20.2734,Glamping & Camping
322,Sansepolcro,IT,294.22,43.5747,12.143,Albergo Fiorentino
323,Yelanskiy,RU,283.15,56.8419,62.5014,
324,Mercedes,AR,295.95,-34.6515,-59.4307,Posada del Inti Centro
326,Constitucion,CL,288.49,-35.3333,-72.4167,Hotel Boutique Las Azucenas
327,Polyarnyy,RU,280.52,69.1989,33.4478,Hotel Tatyana
329,Hobyo,SO,298.9,5.3505,48.5268,Halane Hotel and Restaurent
333,Spasskoye,RU,278.86,44.6108,132.7969,Garmonist
336,Derzhavinsk,KZ,284.12,51.1,66.3167,Ooo.khim Baza
337,Idukki,IN,294.98,9.85,76.9667,"GOVERNMENT GUEST HOUSE, IDUKKI"
338,Kommunisticheskiy,RU,278.59,61.6789,64.4819,
339,Vallenar,CL,296.68,-28.5708,-70.7581,Humacao Bed & Breakfast
341,Thinadhoo,MV,299.76,0.5333,72.9333,
343,Bereznik,RU,279.75,62.8551,42.7072,coastal Hotel
347,Arroyo,ES,295.7,41.6096,-4.7969,Hotel El Jardín de la Abadía
348,Harvard,US,290.78,42.4222,-88.6137,Baymont Inn
